reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
US-10597,Roselle Access State Conservation Area,37.5962,-90.4997,EM47so,US-MO,14,14,456,0,0
US-10598,Marquand Access State Conservation Area,37.3818,-90.1575,EM47wj,US-MO,5,5,428,0,0
US-10599,Thompson Ford Access State Conservation Area,37.5559,-90.3568,EM47tn,US-MO,13,13,514,0,0
US-10600,Mule Shoe State Conservation Area,37.9894,-93.0997,EM37kx,US-MO,11,10,443,0,0
US-10601,Suwannee Springs Park State Conservation Area,30.3932,-82.9355,EM80mj,US-FL,36,35,957,0,0
US-10602,Linville State Conservation Area,30.379,-82.929,EM80mj,US-FL,31,31,814,0,0
US-10603,Rocky Creek State Conservation Area,30.3397,-82.8364,EM80ni,US-FL,24,24,547,0,0
US-10604,Blue Sink State Conservation Area,30.3353,-82.8085,EM80oi,US-FL,28,28,823,0,0
US-10605,Muriel O. Ponsler Memorial State Park,44.1698,-124.116,CN74we,US-OR,9,8,123,0,0
US-10606,Cline Falls State Park,44.2683,-121.255,CN94ig,US-OR,20,20,308,0,0
US-10607,Bradley State Park,46.1712,-123.437,CN86ge,US-OR,36,35,2184,0,0
US-10608,Boiler Bay State Park,44.8294,-124.065,CN74xt,US-OR,33,27,542,0,0
US-10609,Bolon Island Tideways State Park,43.7126,-124.1,CN73wr,US-OR,13,13,285,0,0
US-10610,South Santiam State Fish Hatchery,44.4151,-122.676,CN84pj,US-OR,10,10,315,0,0
US-10611,Lookingglass Hatchery State Fish Hatchery,45.7328,-117.865,DN15br,US-OR,1,1,11,0,0
US-10612,Wizard Falls State Fish Hatchery,44.5223,-121.632,CN94em,US-OR,10,10,191,0,0
US-10613,Cole M. Rivers State Fish Hatchery,42.6626,-122.685,CN82pp,US-OR,18,18,628,0,0
US-10614,Roline State Conservation Area,30.5643,-82.7268,EM80pn,US-FL,15,15,293,0,0
US-10615,Cypress Creek South State Conservation Area,30.5077,-82.7173,EM80pm,US-FL,16,16,350,0,0
US-10616,Tyree State Conservation Area,30.4724,-83.0831,EM80ll,US-FL,23,23,563,0,0
US-10617,Alapaha Bluffs State Conservation Area,30.4496,-83.0834,EM80kk,US-FL,29,27,581,0,0
US-10618,Wolf Creek State Conservation Area,30.4478,-83.7342,EM80dk,US-FL,14,14,483,0,0
US-10619,Little River Wildlife Management Area,30.0078,-82.9964,EM80ma,US-FL,15,15,436,0,0
US-10620,Jerry Branch State Conservation Area,30.3687,-82.8597,EM80ni,US-FL,21,21,580,0,0
US-10621,McGlothlin-Largen Wildlife Management Area,35.8453,-84.5602,EM75ru,US-TN,38,38,2272,0,0
US-10622,Fish Dam Ford Heritage Preserve Wildlife Management Area,34.5981,-81.4179,EM94go,US-SC,16,16,1029,0,0
